# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 0.326; 0.001; 0.326
3.0; 0.095; 0.324; 0.000; 0.324
6.0; 0.190; 0.323; 0.000; 0.323
9.0; 0.285; 0.321; 0.000; 0.321
12.0; 0.379; 0.320; 0.000; 0.320
15.0; 0.474; 0.318; 0.000; 0.318
18.0; 0.568; 0.317; 0.000; 0.317
21.0; 0.663; 0.315; 0.000; 0.315
24.0; 0.757; 0.314; 0.000; 0.314
27.0; 0.851; 0.312; 0.000; 0.312
30.0; 0.945; 0.311; 0.000; 0.311
33.0; 1.039; 0.309; 0.000; 0.309
36.0; 1.133; 0.308; 0.000; 0.308
39.0; 1.227; 0.307; 0.000; 0.307
42.0; 1.321; 0.305; 0.000; 0.305
45.0; 1.415; 0.304; 0.000; 0.304
48.0; 1.508; 0.302; 0.000; 0.302
51.0; 1.602; 0.301; 0.000; 0.301
54.0; 1.695; 0.300; 0.000; 0.300
57.0; 1.789; 0.298; 0.000; 0.298
60.0; 1.882; 0.297; 0.000; 0.297
63.0; 1.975; 0.296; 0.000; 0.296
66.0; 2.068; 0.294; 0.000; 0.294
69.0; 2.161; 0.293; 0.000; 0.293
72.0; 2.254; 0.291; 0.000; 0.291
75.0; 2.347; 0.290; 0.000; 0.290
78.0; 2.440; 0.289; 0.000; 0.289
81.0; 2.533; 0.287; 0.000; 0.287
84.0; 2.626; 0.286; 0.000; 0.286
87.0; 2.718; 0.285; 0.000; 0.285
90.0; 2.811; 0.284; 0.000; 0.284
93.0; 2.903; 0.282; 0.000; 0.282
96.0; 2.995; 0.281; 0.000; 0.281
99.0; 3.088; 0.280; 0.000; 0.280
102.0; 3.180; 0.278; 0.000; 0.278
105.0; 3.272; 0.277; 0.000; 0.277
108.0; 3.364; 0.276; 0.000; 0.276
111.0; 3.456; 0.275; 0.000; 0.275
114.0; 3.548; 0.273; 0.000; 0.273
117.0; 3.640; 0.272; 0.000; 0.272
120.0; 3.732; 0.271; 0.000; 0.271
123.0; 3.824; 0.269; 0.000; 0.269
126.0; 3.915; 0.268; 0.000; 0.268
129.0; 4.007; 0.267; 0.000; 0.267
132.0; 4.098; 0.266; 0.000; 0.266
135.0; 4.190; 0.265; 0.000; 0.265
138.0; 4.281; 0.263; 0.000; 0.263
141.0; 4.372; 0.262; 0.000; 0.262
144.0; 4.464; 0.261; 0.000; 0.261
