# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00000; 1000.0; -0.0; 0.1
3.0; 0.095; 0.00000; 1000.0; -0.0; 0.1
6.0; 0.190; 0.00000; 1000.0; -0.0; 0.1
9.0; 0.285; 0.00000; 1000.0; -0.0; 0.1
12.0; 0.379; 0.00000; 1000.0; -0.0; 0.1
15.0; 0.474; 0.00000; 1000.0; -0.0; 0.1
18.0; 0.568; 0.00000; 1000.0; -0.0; 0.0
21.0; 0.663; 0.00000; 1000.0; -0.0; 0.0
24.0; 0.757; 0.00000; 1000.0; -0.0; 0.0
27.0; 0.851; 0.00000; 1000.0; -0.0; 0.0
30.0; 0.945; 0.00000; 1000.0; -0.0; 0.0
33.0; 1.039; 0.00000; 1000.0; -0.0; 0.0
36.0; 1.133; 0.00000; 1000.0; -0.0; 0.0
39.0; 1.227; 0.00000; 1000.0; -0.0; 0.0
42.0; 1.321; 0.00000; 1000.0; -0.0; 0.0
45.0; 1.415; 0.00000; 1000.0; -0.0; 0.0
48.0; 1.508; 0.00000; 1000.0; -0.0; 0.0
51.0; 1.602; 0.00000; 1000.0; -0.0; 0.0
54.0; 1.695; 0.00000; 1000.0; -0.0; 0.0
57.0; 1.789; 0.00000; 1000.0; -0.0; 0.0
60.0; 1.882; 0.00000; 1000.0; -0.0; 0.0
63.0; 1.975; 0.00000; 1000.0; -0.0; 0.0
66.0; 2.068; 0.00000; 1000.0; -0.0; 0.0
69.0; 2.161; 0.00000; 1000.0; -0.0; 0.0
72.0; 2.254; 0.00000; 1000.0; -0.0; 0.0
75.0; 2.347; 0.00000; 1000.0; -0.0; 0.0
78.0; 2.440; 0.00000; 1000.0; -0.0; 0.0
81.0; 2.533; 0.00000; 1000.0; -0.0; 0.0
84.0; 2.626; 0.00000; 1000.0; -0.0; 0.0
87.0; 2.718; 0.00000; 1000.0; -0.0; 0.0
90.0; 2.811; 0.00000; 1000.0; -0.0; 0.0
93.0; 2.903; 0.00000; 1000.0; -0.0; 0.0
96.0; 2.995; 0.00000; 1000.0; -0.0; 0.0
99.0; 3.088; 0.00000; 1000.0; -0.0; 0.0
102.0; 3.180; 0.00000; 1000.0; -0.0; 0.0
105.0; 3.272; 0.00000; 1000.0; -0.0; 0.0
108.0; 3.364; 0.00000; 1000.0; -0.0; 0.0
111.0; 3.456; 0.00000; 1000.0; -0.0; 0.0
114.0; 3.548; 0.00000; 1000.0; -0.0; 0.0
117.0; 3.640; 0.00000; 1000.0; -0.0; 0.0
120.0; 3.732; 0.00000; 1000.0; -0.0; 0.0
123.0; 3.824; 0.00000; 1000.0; -0.0; 0.0
126.0; 3.915; 0.00000; 1000.0; -0.0; 0.0
129.0; 4.007; 0.00000; 1000.0; -0.0; 0.0
132.0; 4.098; 0.00000; 1000.0; -0.0; 0.0
135.0; 4.190; 0.00000; 1000.0; -0.0; 0.0
138.0; 4.281; 0.00000; 1000.0; -0.0; 0.0
141.0; 4.372; 0.00000; 1000.0; -0.0; 0.0
144.0; 4.464; 0.00000; 1000.0; -0.0; 0.0
147.0; 4.555; 0.00000; 1000.0; -0.0; 0.0
150.0; 4.646; 0.00000; 1000.0; -0.0; 0.0
153.0; 4.737; 0.00000; 1000.0; -0.0; 0.0
156.0; 4.828; 0.00000; 1000.0; -0.0; 0.0
159.0; 4.919; 0.00000; 1000.0; -0.0; 0.0
162.0; 5.010; 0.00000; 1000.0; -0.0; 0.0
165.0; 5.101; 0.00000; 1000.0; -0.0; 0.0
168.0; 5.191; 0.00000; 1000.0; -0.0; 0.0
171.0; 5.282; 0.00000; 1000.0; -0.0; 0.0
174.0; 5.373; 0.00000; 1000.0; -0.0; 0.0
177.0; 5.463; 0.00000; 1000.0; -0.0; 0.0
180.0; 5.554; 0.00000; 1000.0; -0.0; 0.0
183.0; 5.644; 0.00000; 1000.0; -0.0; 0.0
186.0; 5.734; 0.00000; 1000.0; -0.0; 0.0
189.0; 5.825; 0.00000; 1000.0; -0.0; 0.0
192.0; 5.915; 0.00000; 1000.0; -0.0; 0.0
195.0; 6.005; 0.00000; 1000.0; -0.0; 0.0
198.0; 6.095; 0.00000; 1000.0; -0.0; 0.0
201.0; 6.185; 0.00000; 1000.0; -0.0; 0.0
204.0; 6.275; 0.00000; 1000.0; -0.0; 0.0
207.0; 6.365; 0.00000; 1000.0; -0.0; 0.0
210.0; 6.455; 0.00000; 1000.0; -0.0; 0.0
213.0; 6.545; 0.00000; 1000.0; -0.0; 0.0
216.0; 6.635; 0.00000; 1000.0; -0.0; 0.0
219.0; 6.725; 0.00000; 1000.0; -0.0; 0.0
222.0; 6.814; 0.00000; 1000.0; -0.0; 0.0
225.0; 6.904; 0.00000; 1000.0; -0.0; 0.0
228.0; 6.993; 0.00000; 1000.0; -0.0; 0.0
231.0; 7.083; 0.00000; 1000.0; -0.0; 0.0
234.0; 7.172; 0.00000; 1000.0; -0.0; 0.0
237.0; 7.262; 0.00000; 1000.0; -0.0; 0.0
240.0; 7.351; 0.00000; 1000.0; -0.0; 0.0
243.0; 7.440; 0.00000; 1000.0; -0.0; 0.0
246.0; 7.530; 0.00000; 1000.0; -0.0; 0.0
249.0; 7.619; 0.00000; 1000.0; -0.0; 0.0
252.0; 7.708; 0.00000; 1000.0; -0.0; 0.0
255.0; 7.797; 0.00000; 1000.0; -0.0; 0.0
258.0; 7.886; 0.00000; 1000.0; -0.0; 0.0
261.0; 7.975; 0.00000; 1000.0; -0.0; 0.0
264.0; 8.064; 0.00000; 1000.0; -0.0; 0.0
267.0; 8.153; 0.00000; 1000.0; -0.0; 0.0
270.0; 8.242; 0.00000; 1000.0; -0.0; 0.0
273.0; 8.330; 0.00000; 1000.0; -0.0; 0.0
276.0; 8.419; 0.00000; 1000.0; -0.0; 0.0
279.0; 8.508; 0.00000; 1000.0; -0.0; 0.0
282.0; 8.596; 0.00000; 1000.0; -0.0; 0.0
285.0; 8.685; 0.00000; 1000.0; -0.0; 0.0
288.0; 8.774; 0.00000; 1000.0; -0.0; 0.0
291.0; 8.862; 0.00000; 1000.0; -0.0; 0.0
294.0; 8.950; 0.00000; 1000.0; -0.0; 0.0
297.0; 9.039; 0.00000; 1000.0; -0.0; 0.0
300.0; 9.127; 0.00000; 1000.0; -0.0; 0.0
303.0; 9.215; 0.00000; 1000.0; -0.0; 0.1
306.0; 9.304; 0.00000; 1000.0; -0.0; 0.1
309.0; 9.392; 0.00000; 1000.0; -0.0; 0.1
312.0; 9.480; 0.00000; 1000.0; -0.0; 0.1
315.0; 9.568; 0.00000; 1000.0; -0.0; 0.1
318.0; 9.656; 0.00000; 1000.0; -0.0; 0.1
321.0; 9.744; 0.00000; 1000.0; -0.0; 0.1
324.0; 9.832; 0.00000; 1000.0; -0.0; 0.1
327.0; 9.920; 0.00001; 1000.0; -0.0; 0.1
330.0; 10.008; 0.00001; 1000.0; -0.0; 0.1
333.0; 10.096; 0.00001; 1000.0; -0.0; 0.1
336.0; 10.184; 0.00001; 1000.0; -0.0; 0.1
339.0; 10.271; 0.00001; 1000.0; -0.0; 0.1
342.0; 10.359; 0.00001; 1000.0; -0.0; 0.1
345.0; 10.447; 0.00001; 1000.0; -0.0; 0.1
348.0; 10.534; 0.00001; 1000.0; -0.0; 0.2
351.0; 10.622; 0.00001; 1000.0; -0.0; 0.2
354.0; 10.709; 0.00001; 1000.0; -0.0; 0.2
357.0; 10.797; 0.00001; 1000.0; -0.0; 0.2
