# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 31.58; 0.00000; 0.00002; -0.64901; 0.00599
3.0; 0.095; 31.62; 0.00000; 0.00002; -0.63105; 0.00598
6.0; 0.190; 31.65; 0.00000; 0.00001; -0.61312; 0.00597
9.0; 0.285; 31.68; 0.00000; 0.00001; -0.59521; 0.00596
12.0; 0.379; 31.71; 0.00000; 0.00001; -0.57733; 0.00596
15.0; 0.474; 31.74; 0.00000; 0.00001; -0.55948; 0.00595
18.0; 0.568; 31.77; 0.00000; 0.00001; -0.54166; 0.00594
21.0; 0.663; 31.80; 0.00000; 0.00001; -0.52386; 0.00593
24.0; 0.757; 31.83; 0.00000; 0.00001; -0.50610; 0.00592
27.0; 0.851; 31.86; 0.00000; 0.00001; -0.48837; 0.00590
30.0; 0.945; 31.89; 0.00000; 0.00001; -0.47067; 0.00589
33.0; 1.039; 31.91; 0.00000; 0.00001; -0.45301; 0.00588
36.0; 1.133; 31.94; 0.00000; 0.00001; -0.43538; 0.00587
39.0; 1.227; 31.97; 0.00000; 0.00001; -0.41779; 0.00586
42.0; 1.321; 32.00; 0.00000; 0.00001; -0.40023; 0.00584
45.0; 1.415; 32.03; 0.00000; 0.00001; -0.38272; 0.00583
48.0; 1.508; 32.06; 0.00000; 0.00001; -0.36524; 0.00582
51.0; 1.602; 32.09; 0.00000; 0.00001; -0.34781; 0.00580
54.0; 1.695; 32.11; 0.00000; 0.00001; -0.33042; 0.00579
57.0; 1.789; 32.14; 0.00000; 0.00001; -0.31307; 0.00578
60.0; 1.882; 32.17; 0.00000; 0.00001; -0.29577; 0.00576
63.0; 1.975; 32.20; 0.00000; 0.00001; -0.27851; 0.00575
66.0; 2.068; 32.22; 0.00000; 0.00001; -0.26130; 0.00573
69.0; 2.161; 32.25; 0.00000; 0.00001; -0.24413; 0.00571
72.0; 2.254; 32.28; 0.00000; 0.00000; -0.22701; 0.00570
75.0; 2.347; 32.31; 0.00000; 0.00000; -0.20995; 0.00568
