# eecd2efc-9757-444e-a0e1-d22e823dfdf8
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.5716965; 0.8061078; -0.0745522; -0.0002285; 32.7714148; 0.2658004
1.9998549; 2.7211141; 2.8003684; -0.0750193; -0.0002387; 32.7876311; 0.2652447
3.9997097; 2.8714842; 4.7945800; -0.0755034; -0.0002418; 32.8038055; 0.2646861
5.9995646; 3.0228151; 6.7886876; -0.0759830; -0.0002378; 32.8199378; 0.2634362
7.9994195; 3.1750941; 8.7827432; -0.0764518; -0.0002311; 32.8359862; 0.2628770
9.9992744; 3.3282941; 10.7767223; -0.0769073; -0.0002245; 32.8519926; 0.2623135
11.9991292; 3.4823887; 12.7706240; -0.0773499; -0.0002182; 32.8679570; 0.2610717
13.9989841; 3.6373545; 14.7644725; -0.0777801; -0.0002120; 32.8838381; 0.2605152
15.9988390; 3.7931652; 16.7582482; -0.0781981; -0.0002060; 32.8996777; 0.2599531
17.9986938; 3.9497971; 18.7519533; -0.0786043; -0.0002002; 32.9154756; 0.2587212
19.9985487; 4.1072282; 20.7456080; -0.0789990; -0.0001946; 32.9311910; 0.2581677
21.9984036; 4.2654347; 22.7391949; -0.0793826; -0.0001891; 32.9468653; 0.2576075
23.9982585; 4.4243947; 24.7327165; -0.0797554; -0.0001837; 32.9624983; 0.2563857
25.9981133; 4.5840881; 26.7261907; -0.0801177; -0.0001786; 32.9780497; 0.2558354
27.9979682; 4.7444930; 28.7196019; -0.0804697; -0.0001735; 32.9935604; 0.2552775
29.9978231; 4.9055894; 30.7129526; -0.0808118; -0.0001686; 33.0090300; 0.2540660
31.9976779; 5.0673588; 32.7062588; -0.0811443; -0.0001639; 33.0244190; 0.2535192
33.9975328; 5.2297812; 34.6995067; -0.0814674; -0.0001593; 33.0397678; 0.2529639
35.9973877; 5.3928381; 36.6926986; -0.0817814; -0.0001547; 33.0550758; 0.2517629
37.9972426; 5.5565127; 38.6858487; -0.0820866; -0.0001504; 33.0703042; 0.2512197
39.9970974; 5.7207865; 40.6789449; -0.0823831; -0.0001462; 33.0854926; 0.2506672
41.9969523; 5.8856426; 42.6719892; -0.0826713; -0.0001420; 33.1006408; 0.2494769
43.9968072; 6.0510656; 44.6649945; -0.0829513; -0.0001381; 33.1157101; 0.2489373
45.9966620; 6.2170385; 46.6579500; -0.0832235; -0.0001342; 33.1307400; 0.2483881
47.9965169; 6.3835459; 48.6508575; -0.0834880; -0.0001304; 33.1457299; 0.2472083
49.9963718; 6.5505735; 50.6437285; -0.0837450; -0.0001267; 33.1606419; 0.2466726
51.9962267; 6.7181058; 52.6365536; -0.0839948; -0.0001231; 33.1755149; 0.2461267
53.9960815; 6.8861287; 54.6293343; -0.0842376; -0.0001196; 33.1903484; 0.2449576
55.9959364; 7.0546290; 56.6220809; -0.0844736; -0.0001163; 33.2051048; 0.2444258
57.9957913; 7.2235925; 58.6147851; -0.0847028; -0.0001130; 33.2198227; 0.2438834
59.9956461; 7.3930062; 60.6074484; -0.0849257; -0.0001098; 33.2345014; 0.2427250
61.9955010; 7.5628582; 62.6000800; -0.0851422; -0.0001068; 33.2491039; 0.2421972
63.9953559; 7.7331353; 64.5926724; -0.0853527; -0.0001037; 33.2636683; 0.2416584
65.9952108; 7.9038256; 66.5852271; -0.0855572; -0.0001008; 33.2781940; 0.2405107
67.9950656; 8.0749181; 68.5777523; -0.0857560; -0.0000980; 33.2926443; 0.2399869
69.9949205; 8.2464008; 70.5702413; -0.0859491; -0.0000952; 33.3070570; 0.2394519
71.9947754; 8.4182627; 72.5626956; -0.0861369; -0.0000925; 33.3214313; 0.2383148
73.9946302; 8.5904938; 74.5551223; -0.0863193; -0.0000899; 33.3357312; 0.2377951
75.9944851; 8.7630830; 76.5475158; -0.0864966; -0.0000874; 33.3499938; 0.2372639
77.9943400; 8.9360204; 78.5398773; -0.0866689; -0.0000849; 33.3642184; 0.2361375
79.9941949; 9.1092964; 80.5322132; -0.0868364; -0.0000825; 33.3783695; 0.2356218
